step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,0.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,1,0.0
10.0,2,0.0,0.0,4.011936406540917,1,0.0,0.3326785289413439,0,0.0,1.0,1,0.0,0.23257547984624075,2,0.0
15.0,0,0.0,0.0,8.804457786111088,0,0.0,0.6393231418791375,0,0.0,0.24867555544564002,0,0.0,0.8153657374606375,0,0.0
20.0,1,0.0,0.0,9.744398037157506,0,0.0,0.7670525467170676,0,0.0,0.9424162401124464,1,0.0,0.5749435272520554,1,0.0
25.0,2,2.0,0.18181818181818182,8.934763002323304,1,1.0,0.4856575041812341,1,1.0,0.4724949920750018,0,0.0,0.7391118090831149,2,2.0
30.0,2,12.0,0.8571428571428571,9.50576908474012,1,6.0,0.492590219413991,1,6.0,0.7557803572497244,0,0.0,0.7704666385079357,2,12.0
35.0,2,22.0,1.2222222222222223,10.014589900912226,1,11.0,0.5684332418768792,1,11.0,0.7543680160558129,0,0.0,0.7151749619833322,2,22.0
40.0,3,32.0,1.6,10.717729044535501,2,16.0,0.6491015405427697,1,16.0,0.7657224398985393,0,0.0,0.8443445078976445,3,32.0
45.0,2,42.0,2.0,10.80570190691108,1,21.0,0.5981194094369291,1,21.0,0.7644670787945911,0,0.0,0.9499762809589413,2,42.0
50.0,3,32.0,1.391304347826087,8.389968959653533,2,31.0,0.5635489968883336,0,0.0,0.6828905370802337,1,1.0,0.6145367265246824,3,32.0
55.0,6,17.0,0.6538461538461539,6.67846523270163,1,8.0,0.6016174620139562,3,7.0,0.5294769933230173,2,10.0,0.28260809231166506,6,25.0
60.0,6,34.0,1.3076923076923077,6.2708967069546775,1,2.0,0.6055952614480555,0,4.0,0.5715874899486876,5,32.0,0.0023394950838829236,6,38.0
65.0,9,78.0,3.0,6.708553214515456,3,18.0,0.5430534110832521,0,0.0,0.7160674543321586,6,64.0,0.2971488477611682,9,82.0
70.0,1,13.0,0.4482758620689655,7.514493156935323,0,14.0,0.5201464187458773,0,0.0,0.9452051758843474,1,53.0,0.5347089797526718,1,67.0
75.0,0,0.0,0.0,10.024482414336344,0,2.0,0.588470082923242,0,2.0,0.889774806958606,0,13.0,0.7132893113180454,0,17.0
80.0,2,4.0,0.12903225806451613,10.014195604991748,1,3.0,0.5504677366175333,0,2.0,0.8201583840055703,1,14.0,0.6068343924110657,2,19.0
85.0,4,12.0,0.4,9.080758589016963,1,1.0,0.4592763709954585,0,2.0,0.832251305588502,3,24.0,0.010126916491942006,4,27.0
90.0,8,45.0,1.7307692307692308,6.473454202111716,3,13.0,0.1636619765835515,1,3.0,0.4985651633427613,4,44.0,8.792854865378069e-06,8,60.0
95.0,5,37.0,1.608695652173913,4.642904355954905,5,37.0,0.12007003550444766,0,0.0,0.3690503258656395,0,19.0,0.28259547377272504,5,56.0
100.0,5,24.0,1.0434782608695652,6.9273322536127555,3,45.0,0.2531156315121239,2,5.0,0.31491573249759736,0,2.0,0.9199216772618846,5,52.0
105.0,2,13.0,0.5652173913043478,8.415484568329873,0,24.0,0.3760135121367017,2,17.0,0.588146211524707,0,2.0,0.7397295851232512,2,43.0
110.0,5,34.0,1.4166666666666667,8.919464417072627,2,6.0,0.2694477155200228,2,25.0,0.6077508310264924,1,7.0,0.6798492823278041,5,38.0
115.0,6,56.0,2.3333333333333335,8.1160643493915,2,16.0,0.5087691641780533,3,39.0,0.618933759324934,1,5.0,0.5711685923120571,6,60.0
120.0,8,91.0,3.5,7.038643665319928,2,26.0,0.5856017990292174,3,52.0,0.5226958164107856,3,15.0,0.3820639252036389,8,93.0
125.0,8,112.0,4.0,6.887669804567686,2,36.0,0.4117037340106542,3,67.0,0.3515088028645019,3,21.0,0.4990956905923365,8,124.0
130.0,10,139.0,4.34375,7.895080757327779,3,50.0,0.4876479015316958,4,82.0,0.4055511463084381,3,15.0,0.5979902307803953,10,147.0
135.0,5,77.0,2.138888888888889,8.124392224979967,4,65.0,0.3689529216005206,0,22.0,0.5108098457438797,1,12.0,0.6312994316623196,5,99.0
140.0,6,86.0,2.15,8.458857549408387,3,80.0,0.40521421004998914,1,3.0,0.7644239604703867,2,3.0,0.3752291362238681,6,86.0
145.0,9,119.0,3.2162162162162162,7.288445478621672,3,95.0,0.4201551605846603,1,1.0,0.6507376254225011,5,23.0,0.3495207827744089,9,119.0
150.0,6,23.0,0.7419354838709677,6.787412029372258,2,70.0,0.4017942646688177,2,7.0,0.4873060669755313,2,31.0,0.49396782149825746,6,108.0
155.0,4,9.0,0.3,8.351122414578455,2,10.0,0.4357265930871908,0,2.0,0.6134982932157786,2,19.0,0.5492216521301476,4,31.0
160.0,4,24.0,0.8,9.809100716255442,1,10.0,0.41088979912248114,1,7.0,0.7630380802580243,2,17.0,0.5670738408815256,4,34.0
165.0,4,11.0,0.36666666666666664,8.08115764021001,3,19.0,0.23835345387309315,0,5.0,0.7638440576875123,1,10.0,0.19110958181194124,4,34.0
170.0,4,16.0,0.5333333333333333,9.869419665323923,0,10.0,0.671659408386816,2,10.0,0.6738969297157139,2,10.0,0.6333485143209959,4,30.0
175.0,3,18.0,0.6206896551724138,8.842858181304978,1,0.0,0.6021576811792593,0,8.0,0.4081963785109131,2,20.0,0.6430723416002141,3,28.0
180.0,6,17.0,0.68,7.711814146761705,2,5.0,0.6419193415723806,4,14.0,0.1614912838097762,0,13.0,0.5854238847940111,6,32.0
185.0,0,0.0,0.0,7.2712219601899335,0,0.0,0.42522791099815616,0,15.0,0.4253549336519002,0,0.0,0.7730290504397457,0,15.0
190.0,1,5.0,0.2,11.154598579296875,1,7.0,0.7389201423341687,0,2.0,0.8583048972991479,0,2.0,0.6094025912005201,1,11.0
195.0,2,13.0,0.52,10.975143458197568,2,15.0,0.6223553265486262,0,2.0,0.7419036492056493,0,2.0,0.9588371777136134,2,19.0
200.0,3,28.0,1.2173913043478262,10.456880602375337,2,25.0,0.5791411192879858,1,7.0,0.8165289845006135,0,2.0,0.7423474817588699,3,34.0
205.0,4,43.0,2.15,8.336211508934593,3,33.0,0.468812229552728,1,10.0,0.49518112852949203,0,0.0,0.5913478624900091,4,43.0
210.0,2,20.0,0.9523809523809523,10.380289438284853,0,16.0,0.6991110310708227,2,20.0,0.32342473546415923,0,0.0,0.8341759508286121,2,36.0
215.0,1,1.0,0.047619047619047616,10.625657011211947,0,0.0,0.6510762706057358,0,0.0,0.8588966424542203,1,1.0,0.7182721328605438,1,1.0
220.0,4,2.0,0.09523809523809523,8.897307563139663,0,0.0,0.7386480866808123,2,1.0,0.002928623790252462,2,1.0,0.5191013885668722,4,2.0
225.0,2,7.0,0.4117647058823529,9.705710223472462,0,0.0,0.4951574149454846,0,1.0,0.8932884388429089,2,7.0,0.4415695499288983,2,8.0
230.0,1,0.0,0.0,9.168379307188864,1,2.0,0.555526564039643,0,1.0,0.7745638823204911,0,4.0,0.5039790777912639,1,7.0
235.0,4,9.0,0.47368421052631576,8.593917005416005,1,5.0,0.4608192692699192,1,2.0,0.6687414291637283,2,4.0,0.441911317187186,4,11.0
240.0,1,8.0,0.4444444444444444,7.796702821988565,1,8.0,0.403131792292913,0,0.0,0.39746325752923856,0,0.0,0.6602990785377456,1,8.0
245.0,6,29.0,1.5263157894736843,7.931659172328053,4,21.0,0.2809152295511164,2,8.0,0.321359473713088,0,0.0,0.5093701878947747,6,29.0
250.0,4,19.0,1.0555555555555556,5.964919905391415,1,9.0,0.4727923026363233,2,18.0,0.2880448104925793,1,1.0,0.3428151183600818,4,28.0
255.0,1,0.0,0.0,8.427237245339656,0,0.0,0.6420953584645404,1,11.0,0.39206905993317936,0,0.0,0.5216895409697893,1,11.0
260.0,3,9.0,0.47368421052631576,10.179208334356936,2,6.0,0.47218543959199377,0,0.0,0.566274008183181,1,5.0,0.7603702391520555,3,11.0
265.0,0,0.0,0.0,8.654171677714686,0,6.0,0.4569114671366311,0,0.0,0.6890154712051679,0,2.0,0.7111714625236103,0,8.0
270.0,2,7.0,0.4666666666666667,8.637806786774819,1,7.0,0.6564152619632845,0,2.0,0.880427296079472,1,4.0,0.41610940865162577,2,13.0
275.0,2,12.0,0.8571428571428571,8.583291159547013,2,14.0,0.5783188360108206,0,2.0,0.8797093039006685,0,3.0,0.6169803532983937,2,19.0
280.0,0,0.0,0.0,9.998447175276263,0,7.0,0.7097592904239362,0,4.0,0.7784748254100713,0,0.0,0.7290155660627596,0,11.0
285.0,2,1.0,0.06666666666666667,8.340989595502965,1,0.0,0.037151814279070834,1,5.0,0.5825715178454606,0,0.0,0.6980444399866131,2,5.0
290.0,4,13.0,0.7222222222222222,6.860008093511172,1,3.0,0.37973925274604586,3,14.0,0.2720681552159429,0,0.0,0.6534322911711562,4,17.0
295.0,1,5.0,0.3125,7.948487403934611,0,0.0,0.8125162574200948,0,7.0,0.5370436399870377,1,5.0,0.39115027561153326,1,12.0
300.0,5,15.0,0.7894736842105263,7.224436319174711,2,2.0,0.5930606704481248,0,2.0,0.5451892102373997,3,15.0,0.4259002213925706,5,19.0
305.0,6,38.0,1.8095238095238095,7.671750078740492,2,7.0,0.6705393634334436,2,10.0,0.31387518756022953,2,25.0,0.4521146336351379,6,42.0
310.0,4,30.0,1.3636363636363635,8.878644357835112,2,12.0,0.6020062875018699,2,18.0,0.41476679407513606,0,17.0,0.7610148242706856,4,47.0
315.0,4,49.0,2.130434782608696,9.80929903108643,2,21.0,0.5040337231531691,2,30.0,0.6738097350061888,0,0.0,0.8804413601193598,4,51.0
320.0,6,73.0,2.7037037037037037,7.756747349558907,2,31.0,0.3967685053310177,2,40.0,0.7052461469947796,2,4.0,0.2891728839335928,6,75.0
325.0,8,110.0,4.230769230769231,7.9051250552605605,3,44.0,0.3890097540815998,2,50.0,0.7017732087911848,3,18.0,0.4287694549241745,8,112.0
330.0,2,58.0,2.230769230769231,8.06799863473416,0,17.0,0.40354047007633725,2,58.0,0.5825770417445574,0,16.0,0.6270186144318567,2,91.0
335.0,5,78.0,2.7857142857142856,8.517826916543731,2,5.0,0.480275487892357,2,70.0,0.4795318507905973,1,5.0,0.658191129688221,5,80.0
340.0,4,91.0,3.1379310344827585,9.152525463025011,0,0.0,0.676510971479277,2,80.0,0.6631346274896773,2,13.0,0.628961046252936,4,93.0
345.0,5,111.0,3.7,8.937407374631245,0,0.0,0.7663488007318955,3,92.0,0.6154296414906294,2,23.0,0.5762299718926975,5,115.0
350.0,6,137.0,4.151515151515151,8.968602731532615,0,0.0,0.7530608276946398,4,106.0,0.5455825589642422,2,33.0,0.3536000196804656,6,139.0
355.0,4,124.0,3.875,9.577386491122073,0,0.0,0.9454941853272575,4,124.0,0.4517106987495296,0,16.0,0.5195143073957297,4,140.0
360.0,2,5.0,0.14705882352941177,9.495944571355675,0,0.0,0.7376227453387773,1,24.0,0.5174065888889039,1,4.0,0.5979780718356599,2,28.0
