preference_id,raw_delay,raw_green_wave,raw_free_flow,raw_side_fairness,raw_spillback,weight_delay,weight_green_wave,weight_free_flow,weight_side_fairness,weight_spillback,average_waiting_time,average_queue_length,final_waiting_time,final_queue_length,vehicles_seen,main_vehicles_seen,side_vehicles_seen,main_mean_max_waiting,side_mean_max_waiting,side_max_waiting,main_green_ratio,side_green_ratio,mean_no_stop_rate,progression_segment_count,evaluation_seed,rank_waiting_norm,rank_side_wait_norm,rank_no_stop_norm,balance_score,is_pareto_front
midpoint,0.465,0.235,0.1,0.2249999999999999,0.075,0.4227272727272728,0.2136363636363636,0.0909090909090909,0.2045454545454545,0.0681818181818181,124.00555555555556,12.675,0.0,0.0,3464,1613,1851,4.606323620582765,11.420313344138304,107.0,0.7078703703703704,0.2921296296296296,0.7361199744735163,3134,8848,0.0,0.0,1.0,0.2,True
delay_high,0.55,0.235,0.1,0.2249999999999999,0.075,0.4641350210970465,0.1983122362869198,0.0843881856540084,0.189873417721519,0.0632911392405063,124.00555555555556,12.675,0.0,0.0,3464,1613,1851,4.606323620582765,11.420313344138304,107.0,0.7078703703703704,0.2921296296296296,0.7361199744735163,3134,8848,0.0,0.0,1.0,0.2,True
green_wave_high,0.465,0.32,0.1,0.2249999999999999,0.075,0.3924050632911393,0.270042194092827,0.0843881856540084,0.189873417721519,0.0632911392405063,124.00555555555556,12.675,0.0,0.0,3464,1613,1851,4.606323620582765,11.420313344138304,107.0,0.7078703703703704,0.2921296296296296,0.7361199744735163,3134,8848,0.0,0.0,1.0,0.2,True
free_flow_high,0.465,0.235,0.14,0.2249999999999999,0.075,0.4078947368421053,0.2061403508771929,0.1228070175438596,0.1973684210526315,0.0657894736842105,124.00555555555556,12.675,0.0,0.0,3464,1613,1851,4.606323620582765,11.420313344138304,107.0,0.7078703703703704,0.2921296296296296,0.7361199744735163,3134,8848,0.0,0.0,1.0,0.2,True
side_fairness_high,0.465,0.235,0.1,0.3,0.075,0.3957446808510639,0.2,0.0851063829787234,0.2553191489361702,0.0638297872340425,124.00555555555556,12.675,0.0,0.0,3464,1613,1851,4.606323620582765,11.420313344138304,107.0,0.7078703703703704,0.2921296296296296,0.7361199744735163,3134,8848,0.0,0.0,1.0,0.2,True
spillback_high,0.465,0.235,0.1,0.2249999999999999,0.12,0.4061135371179039,0.205240174672489,0.0873362445414847,0.1965065502183406,0.1048034934497816,124.00555555555556,12.675,0.0,0.0,3464,1613,1851,4.606323620582765,11.420313344138304,107.0,0.7078703703703704,0.2921296296296296,0.7361199744735163,3134,8848,0.0,0.0,1.0,0.2,True
delay_green_high,0.55,0.32,0.1,0.2249999999999999,0.075,0.4330708661417323,0.2519685039370078,0.0787401574803149,0.1771653543307086,0.0590551181102362,124.00555555555556,12.675,0.0,0.0,3464,1613,1851,4.606323620582765,11.420313344138304,107.0,0.7078703703703704,0.2921296296296296,0.7361199744735163,3134,8848,0.0,0.0,1.0,0.2,True
delay_side_high,0.55,0.235,0.1,0.3,0.075,0.4365079365079365,0.1865079365079364,0.0793650793650793,0.238095238095238,0.0595238095238095,124.00555555555556,12.675,0.0,0.0,3464,1613,1851,4.606323620582765,11.420313344138304,107.0,0.7078703703703704,0.2921296296296296,0.7361199744735163,3134,8848,0.0,0.0,1.0,0.2,True
green_side_high,0.465,0.32,0.1,0.3,0.075,0.369047619047619,0.2539682539682539,0.0793650793650793,0.238095238095238,0.0595238095238095,124.00555555555556,12.675,0.0,0.0,3464,1613,1851,4.606323620582765,11.420313344138304,107.0,0.7078703703703704,0.2921296296296296,0.7361199744735163,3134,8848,0.0,0.0,1.0,0.2,True
