step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,3.7624315166519957,1,0.0,0.2024987375724844,0,0.0,0.15571118522420893,0,0.0,0.3718630039678037,1,0.0
10.0,1,0.0,0.0,8.726153434640043,0,0.0,0.6650184327741839,0,0.0,0.8579086492233635,1,0.0,0.3996122565056542,1,0.0
15.0,0,0.0,0.0,10.900686620645278,0,0.0,0.8528091659223497,0,0.0,0.6665354404051982,0,0.0,0.6257744898227918,0,0.0
20.0,1,5.0,0.5,10.045750220617402,0,0.0,0.951897826275457,0,0.0,0.9564085979579994,1,5.0,0.4122000043538449,1,5.0
25.0,0,0.0,0.0,10.930433405308722,0,0.0,0.9103321814758889,0,0.0,0.9676696172449462,0,1.0,0.6938050869541484,0,1.0
30.0,2,1.0,0.1,9.199571999761387,1,0.0,0.0,0,0.0,0.9115196847712732,1,1.0,0.18765673456311394,2,1.0
35.0,1,6.0,0.6,10.142193581938207,0,0.0,0.6566332720129567,0,0.0,0.7686412894294279,1,6.0,0.4713859210436121,1,6.0
40.0,0,0.0,0.0,9.982467352274476,0,0.0,0.3224284378673825,0,0.0,0.7682901590659592,0,0.0,0.9198697982680815,0,0.0
45.0,2,1.0,0.09090909090909091,9.290608065897997,1,0.0,0.45538939335896816,1,3.0,0.5676726842058706,0,0.0,0.9446667544945182,2,3.0
50.0,2,9.0,0.6,8.626984056499914,0,0.0,0.4361250533715639,2,11.0,0.48863007575048806,0,0.0,0.6038418707271102,2,11.0
55.0,2,3.0,0.21428571428571427,8.799936468038535,0,0.0,0.9708745036467843,1,8.0,0.5316919683697995,1,3.0,0.5479958173075365,2,11.0
60.0,0,0.0,0.0,11.029691803559674,0,0.0,0.9520216484623552,0,0.0,0.8251973810941993,0,3.0,0.7425682928315958,0,3.0
65.0,0,0.0,0.0,10.065450089735027,0,0.0,0.8079041394931948,0,0.0,0.693319632311046,0,2.0,0.6283405706213224,0,2.0
