step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,3.258903692429885,0,0.0,0.19405061032363632,0,0.0,0.2914086070383553,0,0.0,1.0,0,0.0
15.0,1,0.0,0.0,6.770352985664428,0,0.0,0.5584916001571836,0,0.0,0.9356733521241685,1,0.0,0.23962002714202457,1,0.0
20.0,0,0.0,0.0,7.319794641832713,0,0.0,0.6612239483005088,0,0.0,0.04468895462009029,0,0.0,0.5940309058279909,0,0.0
25.0,4,7.0,0.5833333333333334,7.068213901495901,1,0.0,0.6686194876689866,1,5.0,1.5408888626817366e-05,2,2.0,0.5359839628764366,4,7.0
30.0,0,0.0,0.0,9.812472013629927,0,0.0,0.6923018566422007,0,0.0,0.9759374459274515,0,0.0,0.776692824979877,0,0.0
35.0,1,1.0,0.06666666666666667,11.01449569977899,0,0.0,0.5661616586876395,0,0.0,0.9574194872854553,1,1.0,0.7553317306919977,1,1.0
40.0,2,4.0,0.2857142857142857,8.332878276533416,2,4.0,0.47518119065486636,0,0.0,0.9917408384200747,0,0.0,0.45258758219677625,2,4.0
45.0,0,0.0,0.0,8.706548402861873,0,4.0,0.5084773637169719,0,2.0,0.7199712996847173,0,0.0,0.7528129460886247,0,6.0
50.0,2,2.0,0.125,9.653240691333028,1,1.0,0.5770604102191021,0,4.0,0.8919900252977074,1,1.0,0.4906352506049941,2,6.0
55.0,2,10.0,0.625,10.031206924436475,1,4.0,0.6289351948175658,0,4.0,0.8155207005692675,1,6.0,0.4504428726818084,2,14.0
60.0,3,12.0,0.6666666666666666,8.025356133262525,2,9.0,0.3392472550887314,1,7.0,0.5559023093906894,0,0.0,0.7194338906656453,3,16.0
65.0,1,1.0,0.0625,6.23496778478615,0,0.0,0.4646274690964076,1,7.0,0.31219556884366906,0,0.0,0.9150333421211934,1,7.0
70.0,0,0.0,0.0,10.595832639762172,0,2.0,0.8822622185298653,0,6.0,0.6787919628220445,0,0.0,0.6572436234953605,0,8.0
75.0,1,2.0,0.1,10.818641734412056,1,4.0,0.6650181555295578,0,2.0,0.9635498725108003,0,0.0,0.845247801204719,1,6.0
80.0,2,8.0,0.4,11.363893861155104,1,7.0,0.7639086276714259,1,1.0,0.7730158270269569,0,0.0,0.8666788412161199,2,8.0
85.0,2,7.0,0.3181818181818182,9.061125478452707,1,1.0,0.5059328753281686,1,6.0,0.631271932892739,0,0.0,0.6499291628488946,2,7.0
90.0,6,26.0,0.9285714285714286,7.733940089556577,4,14.0,0.2017787892020199,1,11.0,0.5956330382674135,1,1.0,0.6896579816602465,6,26.0
95.0,3,26.0,1.0,8.661859685726528,1,15.0,0.5251675310904786,1,16.0,0.3358345363078045,1,6.0,0.6961279300017241,3,37.0
100.0,2,1.0,0.04,8.853000301094006,1,5.0,0.40588958248731144,0,2.0,0.8225040841691006,1,0.0,0.6174157728012264,2,7.0
105.0,4,13.0,0.48148148148148145,9.461231778178087,3,13.0,0.35786769502308013,1,4.0,0.7710192453363645,0,0.0,0.7153740952956033,4,17.0
110.0,0,0.0,0.0,11.108391427920523,0,6.0,0.6853140795760776,0,4.0,0.8278822709751534,0,0.0,0.8506996735522824,0,10.0
115.0,0,0.0,0.0,10.534687880062865,0,0.0,0.5725868633464358,0,2.0,0.7795154780737886,0,0.0,0.7144450050191483,0,2.0
