step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,4.5369723656214775,0,0.0,1.0,0,0.0,0.24671565269609436,0,0.0,0.36057083506880494,0,0.0
10.0,1,0.0,0.0,9.390189634043576,0,0.0,1.0,0,0.0,0.9428700787260993,1,0.0,0.5865771060322077,1,0.0
15.0,0,0.0,0.0,8.67272610538402,0,0.0,0.2812577094180312,0,0.0,1.0,0,0.0,0.8607947797812598,0,0.0
20.0,1,0.0,0.0,10.280273976157119,1,0.0,0.5752869738281803,0,0.0,0.92320373118081,0,0.0,0.9892403206022355,1,0.0
25.0,1,0.0,0.0,11.167717559727267,1,0.0,0.7380646593864216,0,0.0,0.9680573192812961,0,0.0,0.5996828668482476,1,0.0
30.0,0,0.0,0.0,11.02527126291847,0,0.0,0.6965897964878867,0,0.0,0.966913988467395,0,0.0,0.5317211796081515,0,0.0
35.0,0,0.0,0.0,12.385510867197715,0,0.0,0.8148197813602687,0,0.0,0.9486036881082884,0,0.0,0.9309960856395375,0,0.0
40.0,1,2.0,0.13333333333333333,10.400777882914777,1,2.0,0.5876917041706393,0,0.0,0.9034402669948154,0,0.0,0.7753841124789713,1,2.0
45.0,2,7.0,0.3684210526315789,9.790083529836783,1,7.0,0.6369914789550065,0,0.0,0.9083074062969659,1,0.0,0.594336450368757,2,7.0
50.0,3,13.0,0.5652173913043478,9.946596824422006,1,12.0,0.6865434439896704,0,0.0,0.9119077583189195,2,1.0,0.622204362564634,3,13.0
55.0,3,23.0,0.92,9.875786725625868,1,17.0,0.6559277771382751,0,0.0,0.9428003857093336,2,6.0,0.6505135030045501,3,23.0
60.0,4,26.0,0.9285714285714286,9.443539854778995,4,26.0,0.4015012952957479,0,0.0,0.9417702404834806,0,3.0,0.7554674148149253,4,29.0
65.0,3,4.0,0.13793103448275862,8.521702483631758,1,6.0,0.688817467096793,0,0.0,0.9364203431570199,2,2.0,0.3660243718650192,3,8.0
70.0,2,8.0,0.2962962962962963,8.924707081592286,2,8.0,0.6941298343523219,0,0.0,0.9196801416509429,0,3.0,0.43820690369942905,2,11.0
75.0,0,0.0,0.0,10.11036976501299,0,5.0,0.5816486013119376,0,1.0,0.7745837078718116,0,0.0,0.8318562984221024,0,6.0
80.0,1,4.0,0.17391304347826086,11.175361820151844,0,0.0,0.7209963014463919,1,7.0,0.7681078445728365,0,0.0,0.9610234281633406,1,7.0
85.0,2,2.0,0.08695652173913043,9.999609857152388,1,1.0,0.4642326986079203,0,3.0,0.8810254063736753,1,1.0,0.18259641043111538,2,5.0
