step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,2.0004021720572687,0,0.0,0.14117098403291503,0,0.0,0.1549151885307544,0,0.0,0.13156650381037596,0,0.0
10.0,0,0.0,0.0,10.015376932063374,0,0.0,0.733406225987047,0,0.0,0.6515349203275612,0,0.0,0.8443134020938101,0,0.0
15.0,0,0.0,0.0,9.84951339418958,0,0.0,0.7580683392969512,0,0.0,0.7597575260059974,0,0.0,0.5757124967678168,0,0.0
20.0,1,0.0,0.0,9.069569023184076,1,0.0,0.5954782087239503,0,0.0,0.2917898143205919,0,0.0,0.9697477959361337,1,0.0
25.0,2,8.0,0.8,9.090100369529702,0,0.0,0.8877890052378884,2,8.0,0.443780842073628,0,0.0,0.5025349998235011,2,8.0
30.0,3,22.0,1.8333333333333333,6.423691945346431,0,0.0,0.7945675681131612,2,18.0,0.30810541944199465,1,4.0,0.008163367249742563,3,22.0
35.0,1,1.0,0.08333333333333333,6.211942884880386,1,1.0,0.4816920972020582,0,3.0,0.5706631982343414,0,2.0,0.20873982984781314,1,6.0
40.0,5,14.0,1.0,7.4011210548173185,3,11.0,0.23976578903501208,1,5.0,0.5449031919760325,1,0.0,0.3446706559716229,5,16.0
45.0,0,0.0,0.0,8.26062446303703,0,12.0,0.32841012994873586,0,2.0,0.8587188160077543,0,0.0,0.8069033598185512,0,14.0
50.0,1,0.0,0.0,8.97710977848749,0,0.0,0.5701909849937253,0,2.0,0.7177059266702057,1,2.0,0.5816404029034445,1,4.0
55.0,4,7.0,0.4666666666666667,7.445817516690899,2,2.0,0.3302579003162503,1,4.0,0.5746151594919069,1,5.0,0.600131710916538,4,11.0
60.0,4,26.0,1.625,8.64056422852331,1,7.0,0.5764682029595495,2,13.0,0.5720727567462627,1,8.0,0.6490797819445228,4,28.0
