step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,7.493349413149474,0,0.0,0.45733571687346486,0,0.0,0.6759911689672816,0,0.0,0.5886631867232877,0,0.0
10.0,1,0.0,0.0,10.273824780760267,1,0.0,0.6451738248289437,0,0.0,0.8677587301221756,0,0.0,0.802756658310018,1,0.0
15.0,0,0.0,0.0,9.184671397958553,0,0.0,0.6319555300083193,0,0.0,0.28594206388729426,0,0.0,0.5735961886451306,0,0.0
20.0,0,0.0,0.0,10.529523342051608,0,0.0,0.7820560589759679,0,0.0,0.9293057966027418,0,0.0,0.7689608730834376,0,0.0
25.0,7,0.0,0.0,5.882790157472292,3,0.0,0.43795295596334793,1,0.0,0.49200080989725237,3,0.0,0.3809041419242279,7,0.0
30.0,4,19.0,0.7037037037037037,8.781923319925113,0,0.0,0.7461597712533085,2,9.0,0.6559481205299263,2,10.0,0.5686578441346057,4,19.0
35.0,3,8.0,0.26666666666666666,7.452960425696436,2,7.0,0.4545905752452994,1,1.0,0.5641003154969745,0,0.0,0.4743442553200332,3,8.0
40.0,9,39.0,1.054054054054054,6.953634107669492,5,22.0,0.3292845336060615,2,11.0,0.43340926233164045,2,6.0,0.390374534054593,9,39.0
45.0,10,73.0,2.212121212121212,6.460185985647583,6,47.0,0.37137416584976873,4,26.0,0.279309628392804,0,6.0,0.6022187640002645,10,79.0
50.0,12,87.0,2.289473684210526,4.196367670604524,5,62.0,0.23175408583198337,5,53.0,0.2549454013404018,2,2.0,0.35162852944453227,12,117.0
55.0,8,27.0,0.6923076923076923,6.516731605744277,5,59.0,0.3339662001219671,0,34.0,0.6381687857781329,3,12.0,0.5616119071835624,8,105.0
60.0,0,0.0,0.0,7.138648711603844,0,46.0,0.37411427014877235,0,4.0,0.6812983640435979,0,2.0,0.6784662712214103,0,52.0
65.0,6,25.0,0.5102040816326531,7.811113660979439,3,56.0,0.37875254756469257,2,12.0,0.6278790157048105,1,7.0,0.5806151786163993,6,75.0
70.0,9,49.0,1.0208333333333333,6.991708053353055,4,57.0,0.3640730898305534,2,20.0,0.4701066588844862,3,21.0,0.6095943093991448,9,98.0
75.0,9,44.0,0.8461538461538461,5.379495783541561,3,42.0,0.3233711824437178,1,3.0,0.3913181365695236,5,40.0,0.35124272395624523,9,85.0
80.0,5,30.0,0.5660377358490566,7.523069013793245,2,27.0,0.4162220874728527,2,13.0,0.6479203749439143,1,36.0,0.4820353894098404,5,76.0
85.0,9,5.0,0.08928571428571429,5.394530929877244,4,18.0,0.21844435641620463,2,13.0,0.5867422869942398,3,6.0,0.3538480399940102,9,37.0
90.0,12,50.0,0.8771929824561403,7.06394059997598,8,46.0,0.22616871283844323,2,13.0,0.5625174241831152,2,9.0,0.6382461751521972,12,68.0
95.0,15,106.0,1.8596491228070176,6.89706368944646,12,98.0,0.12495069980506113,2,23.0,0.6519285822063063,1,3.0,0.7497898237271851,15,124.0
100.0,21,194.0,3.180327868852459,5.993575054630253,15,164.0,0.15037911519567254,4,37.0,0.4438904352588637,2,9.0,0.6243857965055449,21,210.0
105.0,17,174.0,3.0,5.622457266505664,13,195.0,0.22311333461967262,4,57.0,0.38971728886289037,0,5.0,0.6615407643828627,17,257.0
110.0,16,79.0,1.234375,5.235053546462369,12,171.0,0.21763171337300433,2,30.0,0.4238274253877709,2,2.0,0.4447531575544755,16,203.0
115.0,16,85.0,1.2878787878787878,6.793604603091691,11,221.0,0.2297248411452992,2,18.0,0.7375937471985907,3,3.0,0.4545159859915414,16,242.0
120.0,20,93.0,1.4307692307692308,5.6516626234937,15,287.0,0.06727485835024645,0,13.0,0.5497947743321122,5,20.0,0.31731829065325906,20,320.0
125.0,19,108.0,1.7704918032786885,4.274107381977588,11,304.0,0.1580279120372194,2,8.0,0.31041620661806707,6,47.0,0.35900231424947837,19,359.0
130.0,14,120.0,2.142857142857143,5.769773282714575,5,278.0,0.3065982269474016,2,20.0,0.604723333025117,7,80.0,0.4483678152711333,14,378.0
135.0,10,58.0,0.9206349206349206,5.430209828428642,5,228.0,0.30606902814801595,3,32.0,0.43574413411583063,2,71.0,0.39688561329811894,10,331.0
140.0,8,74.0,1.1384615384615384,7.30398424702568,2,205.0,0.36681670396540667,4,54.0,0.6432600630322228,2,26.0,0.5222517779133873,8,285.0
145.0,11,23.0,0.3194444444444444,6.339206038202818,3,177.0,0.22345602703983236,2,20.0,0.6076658709477881,6,21.0,0.39104564340295944,11,218.0
150.0,12,67.0,0.9571428571428572,7.634368543399121,7,200.0,0.22639554649985844,1,3.0,0.6386445536786012,4,41.0,0.4528323419954743,12,244.0
155.0,15,132.0,2.0952380952380953,5.593635055979835,10,245.0,0.17031015140674988,1,6.0,0.36466519163683003,4,61.0,0.2761324726408936,15,312.0
160.0,16,142.0,2.3666666666666667,5.302544957006604,8,251.0,0.2688341978597577,2,9.0,0.42455317073477233,6,91.0,0.40291199095271674,16,351.0
165.0,8,36.0,0.6,7.010957761691385,5,172.0,0.3700714682733086,2,18.0,0.687747569503084,1,55.0,0.49738984894864235,8,245.0
