episode,waiting_seed_666,waiting_seed_888,waiting_seed_999,waiting_mean,waiting_sample_sd,queue_seed_666,queue_seed_888,queue_seed_999,queue_mean,queue_sample_sd
1,201.02743055555555,226.30277777777778,215.903125,214.41111111111113,12.703557508999285,26.171875,26.697569444444444,26.90277777777778,26.59074074074074,0.3769801010558493
2,210.38472222222222,213.52847222222223,231.58541666666667,218.49953703703704,11.44119640931366,26.408333333333335,26.696527777777778,28.070486111111112,27.058449074074076,0.888216320894403
3,219.65381944444445,231.43402777777777,217.81909722222224,222.96898148148148,7.3881193822926665,27.37222222222222,27.4,27.056944444444447,27.27638888888889,0.1905513038074394
4,202.41875,210.0625,218.51770833333333,210.33298611111113,8.052886867877183,26.31388888888889,26.709375,26.77638888888889,26.59988425925926,0.24993545012856191
5,180.23263888888889,230.43784722222222,221.79513888888889,210.821875,26.841202026543918,25.075,27.825347222222224,26.600694444444443,26.50034722222222,1.377916773412735
6,205.90451388888889,216.05138888888888,226.325,216.09363425925926,10.210308602437474,26.711111111111112,26.46736111111111,26.944444444444443,26.70763888888889,0.23856061909183876
7,195.24722222222223,179.57465277777777,200.7888888888889,191.8702546296296,11.002903527503923,26.42048611111111,25.709027777777777,26.11423611111111,26.08125,0.35687435136478624
8,186.59270833333335,178.61249999999998,186.08541666666667,183.76354166666667,4.468138191413689,25.289583333333333,25.371180555555554,25.525,25.39525462962963,0.11954046393587407
9,178.79166666666666,179.43229166666666,175.85972222222222,178.02789351851848,1.9048163100988535,25.003124999999997,24.884722222222223,24.539583333333333,24.80914351851852,0.2408356795082003
10,164.80833333333334,153.25069444444443,164.97291666666666,161.01064814814814,6.720820859918934,23.8,23.622569444444444,23.61215277777778,23.678240740740744,0.105575161130039
11,163.42534722222223,156.30381944444443,155.62291666666667,158.45069444444445,4.321606743190032,23.31597222222222,23.580555555555556,22.977083333333333,23.2912037037037,0.3024975873964264
12,146.93368055555555,136.3840277777778,136.90555555555557,140.07442129629632,5.946013453991572,22.504166666666666,21.962847222222223,21.589236111111113,22.01875,0.4600199134763105
13,138.92118055555557,130.778125,139.98993055555556,136.5630787037037,5.038335405282335,22.05173611111111,21.59375,21.82048611111111,21.82199074074074,0.22899676291470059
14,133.87708333333333,130.315625,144.86666666666667,136.353125,7.584938374671837,21.17986111111111,21.85659722222222,21.84027777777778,21.625578703703706,0.38608899275509895
15,118.396875,124.31736111111111,126.58090277777778,123.09837962962963,4.225992730235784,20.76076388888889,21.23784722222222,20.980208333333334,20.992939814814815,0.23879634566225247
16,125.72777777777777,114.50277777777778,115.68055555555557,118.63703703703705,6.168933725754973,21.134722222222223,20.306597222222223,19.70625,20.38252314814815,0.7172564270091313
17,118.71354166666667,125.75173611111111,125.95277777777778,123.47268518518518,4.122764813850852,20.30034722222222,21.22083333333333,21.20138888888889,20.907523148148147,0.5259196472589157
18,113.96840277777778,114.57986111111111,112.509375,113.68587962962964,1.0637634516214853,19.447222222222223,19.937152777777776,19.619791666666664,19.668055555555554,0.24850561270271646
19,114.4576388888889,103.21840277777778,102.9642361111111,106.88009259259259,6.563577993594381,19.932291666666664,18.872916666666665,18.578472222222224,19.127893518518515,0.7120159185539143
20,112.71319444444444,108.41527777777777,104.7,108.60949074074074,4.010125971507122,19.912847222222222,19.737152777777776,18.957638888888887,19.53587962962963,0.5084180367979303
21,99.03993055555556,104.10486111111112,102.87118055555555,102.00532407407407,2.641147661158442,18.281597222222224,19.29201388888889,18.44236111111111,18.671990740740743,0.5429390252803017
22,105.30381944444444,108.8920138888889,104.740625,106.31215277777778,2.251901310011364,19.200694444444444,19.695486111111112,18.651041666666664,19.182407407407407,0.5224623059852388
23,103.61354166666666,103.26875,95.32777777777778,100.73668981481482,4.687426521200494,18.223958333333336,18.730208333333334,18.07604166666667,18.34340277777778,0.3430506353673248
24,104.04131944444444,97.37048611111112,92.06076388888889,97.82418981481482,6.003150268234513,19.13263888888889,18.16840277777778,17.420833333333334,18.240625,0.8581850628184776
25,97.70034722222222,98.05034722222223,98.72986111111112,98.16018518518518,0.5234720579311527,18.189930555555556,18.447222222222223,18.289236111111112,18.308796296296297,0.12975631417155345
26,95.76458333333333,92.89409722222223,86.7173611111111,91.79201388888889,4.623202162979279,17.747569444444444,17.742708333333333,16.57951388888889,17.356597222222224,0.6729782966847005
27,99.72222222222223,93.940625,87.52986111111112,93.73090277777779,6.098885547688529,17.846875,17.811458333333334,16.902430555555554,17.52025462962963,0.5353443050491533
28,92.38402777777777,90.15277777777777,85.51666666666667,89.3511574074074,3.5031569435645964,17.342708333333334,17.43888888888889,17.053125,17.278240740740742,0.20079964482957396
29,91.53854166666666,89.30659722222222,84.24756944444445,88.36423611111111,3.7357197879531716,16.85590277777778,17.35729166666667,16.37395833333333,16.862384259259258,0.49169870684470934
30,86.51284722222222,89.97951388888889,85.09583333333333,87.1960648148148,2.512503462942663,15.980555555555556,17.351736111111112,16.70347222222222,16.678587962962965,0.6859288948226138
31,86.9576388888889,83.890625,82.71458333333334,84.52094907407407,2.190630375177594,16.744791666666668,17.157291666666666,16.432986111111113,16.778356481481485,0.36331746730280406
32,86.87638888888888,79.60069444444444,81.16840277777777,82.54849537037036,3.82915448700188,16.195486111111112,16.494444444444444,16.049305555555556,16.246412037037036,0.2268969921547397
33,78.62569444444445,84.053125,82.98020833333334,81.8863425925926,2.874309882896974,15.629166666666666,16.65416666666667,16.389583333333334,16.224305555555556,0.5321125894680293
34,80.80868055555555,82.06944444444444,76.30659722222222,79.72824074074074,3.02954034000975,15.613194444444446,16.385069444444447,15.497916666666667,15.832060185185187,0.4823760691951901
35,77.39756944444444,77.39166666666667,77.57777777777778,77.4556712962963,0.10578849328360226,15.140277777777778,15.772569444444445,15.810416666666667,15.574421296296295,0.3764552417767804
36,76.94513888888889,77.79340277777777,84.79409722222222,79.84421296296296,4.307656386173943,14.99236111111111,15.620486111111111,16.686458333333334,15.766435185185186,0.8564269955767236
37,80.00694444444444,77.40520833333333,80.55763888888889,79.32326388888889,1.6837514449685378,15.369097222222223,15.684375,16.115625,15.723032407407407,0.3747622274310124
38,75.56493055555555,73.65763888888888,77.709375,75.64398148148148,2.0270244609248693,14.68576388888889,15.225694444444443,15.381944444444445,15.097800925925926,0.3652867442745427
39,75.00659722222223,72.6704861111111,71.23472222222222,72.97060185185184,1.903762681451273,15.124305555555555,15.094791666666666,14.930208333333333,15.049768518518519,0.10458845930824884
40,81.15104166666667,74.71111111111111,78.32326388888889,78.06180555555557,3.2279167794642145,15.744444444444445,15.220138888888888,15.966319444444444,15.643634259259258,0.3831688602301904
41,74.45104166666667,72.24236111111111,76.75902777777777,74.48414351851852,2.2585152742214207,14.74375,14.981944444444444,15.430555555555555,15.052083333333334,0.34873351658023866
42,71.62986111111111,76.24826388888889,77.35416666666667,75.07743055555557,3.0364546010395723,14.259027777777778,15.209027777777777,15.996180555555556,15.154745370370371,0.8698476177760796
43,73.40902777777778,71.1079861111111,69.79652777777778,71.43784722222222,1.8287004475768007,14.48298611111111,14.903472222222222,14.348263888888889,14.578240740740739,0.2896017208168882
44,77.046875,71.51319444444445,69.73680555555555,72.765625,3.8125733491982796,14.83125,14.939930555555556,14.427777777777777,14.732986111111112,0.2698461799637891
45,75.59444444444445,72.96458333333334,69.21006944444444,72.58969907407408,3.208654654374095,15.198263888888889,15.098263888888889,14.461458333333333,14.919328703703703,0.39966730795415983
46,71.92430555555556,75.88368055555556,72.57847222222222,73.46215277777777,2.1224587371387176,14.64236111111111,15.535416666666666,15.125694444444445,15.101157407407408,0.4470331150676405
47,69.20868055555556,73.25590277777778,68.38125,70.28194444444445,2.6085401007783706,14.18923611111111,14.929166666666667,14.547222222222222,14.555208333333333,0.37002991803257995
48,71.91041666666666,74.121875,69.34340277777778,71.79189814814815,2.3914397701094643,14.54513888888889,14.906944444444445,14.506944444444445,14.653009259259258,0.22074195931648502
49,71.26006944444444,68.80416666666667,69.69583333333333,69.92002314814815,1.2432057023172651,14.72013888888889,14.61875,14.433333333333334,14.590740740740742,0.14543983507819352
50,71.60381944444444,69.00868055555556,70.77951388888889,70.46400462962963,1.3260264072274732,14.382291666666667,14.428472222222222,14.840625,14.550462962962962,0.2523463229987051
51,71.81875,73.15,71.04861111111111,72.00578703703704,1.063106746993979,14.599652777777777,14.743402777777778,14.94513888888889,14.762731481481481,0.1735521890752726
52,72.60555555555555,68.61180555555555,67.09236111111112,69.43657407407407,2.847632451250983,14.280902777777778,14.311111111111112,14.289583333333333,14.293865740740742,0.015552816805862693
53,69.53645833333333,69.05451388888889,71.38090277777778,69.990625,1.2278932512314547,14.067361111111111,14.45138888888889,14.885416666666666,14.468055555555557,0.4092823674764894
54,77.53298611111111,72.70590277777778,71.46076388888889,73.89988425925925,3.2073609888197625,15.23263888888889,14.856250000000001,14.703125,14.930671296296296,0.27248878259182435
55,69.24236111111111,69.15104166666667,71.28159722222222,69.89166666666667,1.2045808491685535,13.727083333333333,14.38888888888889,14.561111111111112,14.225694444444445,0.4403122795805078
56,72.47534722222223,68.6861111111111,74.07326388888889,71.74490740740741,2.7668593215195743,14.839930555555556,14.445138888888888,14.902083333333334,14.729050925925927,0.24783114317466998
57,72.50069444444443,68.56527777777778,66.97638888888889,69.3474537037037,2.844000237712545,14.853125,14.251041666666666,13.75625,14.286805555555555,0.5493113718262103
58,71.32465277777777,70.421875,67.05381944444444,69.60011574074075,2.25088217159662,14.38923611111111,14.628125,13.854861111111111,14.29074074074074,0.39592961994929027
59,69.13506944444444,66.42152777777778,67.9420138888889,67.83287037037037,1.36005930933543,13.886458333333334,14.149305555555555,14.356597222222222,14.130787037037036,0.23561588519773052
60,70.30451388888889,65.2923611111111,65.12291666666667,66.90659722222223,2.943901511624772,14.090277777777779,13.621875,13.703819444444445,13.805324074074074,0.25015531762221466
61,67.834375,68.43993055555555,65.52395833333333,67.26608796296296,1.5388099679756282,13.807638888888889,13.755208333333332,14.060416666666667,13.874421296296296,0.16319604510641386
62,72.80486111111111,69.959375,63.984027777777776,68.91608796296296,4.502011889683128,14.766666666666666,14.071875,13.519097222222221,14.119212962962962,0.6251304197773189
63,71.68819444444445,69.98506944444443,67.2875,69.65358796296296,2.218994789936411,14.46875,14.160416666666666,13.902430555555556,14.177199074074075,0.28353247642511265
64,68.40555555555557,65.98958333333333,65.99583333333334,66.79699074074074,1.3930614983625746,13.858680555555555,13.588541666666666,13.647222222222222,13.69814814814815,0.14208744586025365
65,71.47326388888888,66.03333333333333,64.28784722222223,67.26481481481481,3.747661023602135,14.214583333333334,13.708680555555556,13.53125,13.818171296296297,0.3545804250689513
66,64.41840277777777,66.89444444444445,66.68472222222222,65.99918981481481,1.3730118699311078,13.634027777777778,13.882291666666667,13.831597222222221,13.782638888888888,0.131173276370006
67,69.49375,68.07083333333334,63.399652777777774,66.9880787037037,3.1880673502080352,14.292708333333334,13.729513888888889,13.357986111111112,13.793402777777779,0.4706248514173521
68,67.56180555555555,66.1607638888889,65.28229166666667,66.3349537037037,1.1496966822158992,14.072569444444444,13.472222222222221,13.730208333333334,13.758333333333333,0.30116018748538875
69,64.5638888888889,65.49027777777778,59.57465277777778,63.20960648148148,3.1818572272206307,13.612847222222221,13.549305555555556,13.232986111111112,13.465046296296295,0.20346580305257939
70,60.52152777777778,64.15069444444444,65.19270833333334,63.28831018518519,2.4520933717160323,13.011805555555556,13.408333333333333,13.925694444444444,13.448611111111111,0.45827388082420595
71,68.54479166666667,67.290625,71.28159722222222,69.03900462962963,2.0408698290698983,13.987152777777778,13.495486111111111,14.938541666666666,14.140393518518517,0.7336309546168398
72,68.50381944444445,67.89097222222222,64.02222222222223,66.8056712962963,2.429935593882938,14.184027777777779,13.879861111111111,13.725694444444445,13.92986111111111,0.23322169948594249
73,66.39965277777779,63.19236111111111,63.69583333333333,64.42928240740741,1.7248595934053501,13.794444444444444,13.147916666666667,13.676041666666666,13.539467592592592,0.34422216683627543
74,63.200694444444444,65.05798611111112,62.55520833333333,63.604629629629635,1.2993640277487768,13.494444444444444,13.336111111111112,13.673263888888888,13.50127314814815,0.16868008858938377
75,63.30173611111111,64.5923611111111,65.27534722222222,64.38981481481481,1.0022743916128045,13.477430555555555,13.66875,13.589583333333334,13.578587962962962,0.09613249233645661
76,62.38923611111111,69.54479166666667,61.909375,64.61446759259259,4.276521749978012,13.380208333333334,14.064930555555556,13.394791666666666,13.613310185185185,0.39118267804554
77,66.92777777777778,66.20069444444444,63.689236111111114,65.60590277777779,1.6992265525044328,14.261111111111111,13.875694444444445,13.129513888888889,13.755439814814814,0.5753033550187083
78,66.95625,66.42743055555556,61.38125,64.92164351851851,3.0774506008515523,13.760069444444444,14.055208333333333,12.879861111111111,13.565046296296297,0.6114620138909561
79,61.077083333333334,67.56354166666667,67.2,65.28020833333333,3.6445487320201173,13.23263888888889,14.127777777777776,13.974305555555556,13.778240740740742,0.47869558835086823
80,60.31215277777778,62.12465277777778,63.331944444444446,61.92291666666667,1.519969908061351,12.969097222222222,13.317013888888889,13.473611111111111,13.253240740740742,0.25823211813984676
81,64.75520833333333,65.76736111111111,67.17881944444444,65.90046296296298,1.2172755570125056,13.699652777777779,13.764583333333334,14.311458333333334,13.925231481481482,0.3360541326627788
82,67.46979166666667,68.00763888888889,64.78090277777778,66.75277777777778,1.7287388959388235,13.90625,13.927083333333334,13.543402777777779,13.792245370370372,0.21575561142319472
83,69.57708333333333,67.61527777777778,64.20520833333333,67.13252314814814,2.7182805738605955,14.3125,14.020833333333334,13.651041666666666,13.994791666666666,0.33149722168686624
84,61.771875,64.334375,68.6625,64.92291666666667,3.4828098128821665,13.024305555555555,13.425694444444446,13.762152777777779,13.404050925925928,0.3693994616342298
85,60.74513888888889,69.00902777777777,60.797222222222224,63.51712962962963,4.756194604999626,13.161111111111111,13.930902777777778,13.212847222222223,13.434953703703703,0.43028277836142087
86,64.15208333333334,67.44722222222222,66.72777777777777,66.10902777777778,1.7325194792965435,13.634375,13.830555555555556,13.563194444444445,13.676041666666668,0.13846506514993323
87,61.63784722222222,68.48854166666666,66.71354166666666,65.61331018518517,3.555402308799622,13.353125,14.06388888888889,13.801388888888889,13.739467592592591,0.35940508015103895
88,62.126041666666666,61.464930555555554,65.37951388888888,62.99016203703703,2.09547576441951,13.139930555555555,13.1,13.810416666666667,13.35011574074074,0.399131957030432
89,63.22569444444444,62.96145833333333,60.20451388888889,62.13055555555556,1.6732251961125435,13.545833333333334,13.451736111111112,13.121180555555556,13.372916666666667,0.2230288636824703
90,66.5357638888889,70.109375,65.04166666666666,67.22893518518518,2.6039934278797365,13.67326388888889,14.340277777777779,13.884375,13.965972222222222,0.3409112230456145
91,62.16631944444445,64.15138888888889,62.16458333333334,62.827430555555566,1.1465818788130764,13.347569444444444,13.709722222222222,12.899305555555555,13.31886574074074,0.40597009786129606
92,65.15694444444445,65.94722222222222,63.079166666666666,64.72777777777777,1.4814093587768402,13.725694444444445,13.590625,13.656944444444445,13.65775462962963,0.067538366915839
93,63.14513888888889,68.11666666666667,62.22152777777778,64.49444444444445,3.1707467167076544,13.727430555555555,13.707291666666666,13.34548611111111,13.593402777777778,0.21493812812005492
94,64.42430555555556,68.84895833333333,62.682986111111106,65.31875000000001,3.1788089765590115,13.771527777777777,14.133680555555555,13.719444444444445,13.874884259259261,0.2256320248441874
95,62.071875,63.140625,60.02326388888889,61.745254629629635,1.5841387956939343,13.572916666666666,13.086805555555555,12.815625,13.158449074074076,0.3836955334767124
96,60.25138888888889,65.61979166666667,66.49965277777778,64.12361111111112,3.3821764586453997,13.102430555555555,13.897569444444445,13.911805555555556,13.63726851851852,0.46323795363146913
97,62.97569444444444,64.63090277777778,60.733333333333334,62.77997685185185,1.9561418470050735,13.762847222222222,13.255555555555556,13.016319444444445,13.34490740740741,0.3812004011284259
98,61.4375,64.596875,59.786458333333336,61.94027777777777,2.4443028141182648,13.368402777777778,13.379166666666666,13.067708333333332,13.27175925925926,0.17679522223302327
99,64.99930555555557,62.321875000000006,63.349999999999994,63.557060185185186,1.3506716977757156,13.827083333333333,13.304513888888888,13.48125,13.537615740740739,0.265805433754999
100,62.41458333333333,64.12604166666667,63.08819444444444,63.20960648148148,0.8621647573040433,13.401041666666666,13.511458333333334,13.252777777777778,13.388425925925928,0.12980090578058717
101,67.19375,64.02430555555556,64.35381944444444,65.190625,1.7425633919491739,14.078125,13.789930555555555,13.993055555555555,13.953703703703704,0.14807239997814614
102,63.756249999999994,65.72743055555556,59.62430555555555,63.03599537037038,3.1146602928784146,13.555555555555555,13.497222222222224,13.047916666666666,13.366898148148147,0.277781539326384
103,61.75868055555556,61.90763888888889,63.37777777777778,62.3480324074074,0.8948903799442535,13.227777777777778,13.234722222222222,13.178819444444445,13.213773148148148,0.03046928583205104
104,63.69618055555556,62.3125,62.584375,62.86435185185186,0.7330983891233761,13.284722222222221,13.471180555555556,13.385416666666668,13.380439814814816,0.09332874320447944
105,62.53784722222222,62.469791666666666,58.296875,61.10150462962963,2.4291188544836197,13.57673611111111,13.474652777777777,12.84375,13.298379629629629,0.3970155246825889
106,64.51909722222223,59.475,62.935763888888886,62.309953703703705,2.5796236135759476,13.718055555555555,12.947222222222223,13.260069444444444,13.308449074074074,0.3876873074615277
107,59.85104166666667,61.60729166666667,61.104513888888896,60.85428240740742,0.9044696575166661,13.119097222222223,13.081944444444444,13.307291666666666,13.169444444444444,0.1208158711839558
108,63.88090277777778,63.355555555555554,63.12291666666667,63.453125,0.3882983176968885,13.735416666666666,13.38888888888889,13.263541666666667,13.46261574074074,0.24442430406822963
109,59.91111111111111,60.26076388888889,56.665625,58.94583333333333,1.9824421300012809,12.824652777777779,12.985069444444445,12.809375,12.873032407407408,0.09732715897675051
110,60.32534722222222,62.268055555555556,60.29236111111111,60.9619212962963,1.1312656842181723,12.662152777777777,13.152430555555554,13.29861111111111,13.037731481481481,0.33337173052382313
111,68.146875,60.43159722222222,57.86527777777778,62.14791666666667,5.3513666185877655,13.86111111111111,12.885763888888889,12.729861111111111,13.158912037037036,0.6130979316166153
112,65.67083333333333,57.454861111111114,56.91319444444444,60.012962962962966,4.907338743186643,13.574305555555556,12.739930555555556,12.272916666666667,12.86238425925926,0.6592794871630165
113,61.18715277777778,63.83576388888889,59.22916666666667,61.41736111111112,2.3119107680657685,12.805555555555555,13.478472222222223,12.758680555555555,13.014236111111112,0.4027228470684601
114,65.11944444444444,60.57083333333333,62.31319444444445,62.667824074074076,2.2949482326817936,13.344444444444445,12.967708333333334,13.22673611111111,13.17962962962963,0.19273502484487504
115,67.22673611111111,61.04756944444445,61.228125000000006,63.16747685185185,3.516580637149102,13.858680555555555,13.18888888888889,12.89375,13.31377314814815,0.49443887682830717
116,67.0513888888889,62.2875,59.738194444444446,63.02569444444445,3.712061627171587,13.730902777777779,13.250694444444445,12.728472222222223,13.236689814814815,0.5013619968806494
117,60.954166666666666,55.481944444444444,59.303125,58.57974537037037,2.806913354339247,12.894097222222221,12.397916666666667,12.776388888888889,12.689467592592592,0.25925907841428814
118,66.94548611111111,65.13819444444444,66.07222222222222,66.05196759259259,0.903816065146429,13.630208333333334,13.983333333333334,13.585069444444445,13.732870370370371,0.21807831548476095
119,62.97881944444444,62.15694444444445,62.364583333333336,62.50011574074074,0.4273715058347734,13.327777777777778,13.180555555555555,13.242708333333333,13.250347222222222,0.07390778136708566
120,61.986111111111114,62.143055555555556,60.80104166666667,61.64340277777777,0.7337145703846636,13.021180555555556,13.466319444444444,13.182291666666668,13.223263888888889,0.2253801230048443
121,66.01284722222222,58.56388888888889,65.07604166666667,63.21759259259259,4.057353790788906,13.790972222222221,12.880208333333334,13.381944444444445,13.351041666666667,0.45616767923844553
122,59.47361111111111,62.33888888888889,59.96111111111111,60.591203703703705,1.5330416473099588,12.863888888888889,13.162847222222222,12.858680555555555,12.961805555555557,0.17412666506342775
123,59.045833333333334,59.29965277777778,61.50069444444445,59.94872685185186,1.3500217160985823,12.861805555555556,12.765972222222222,12.963541666666668,12.86377314814815,0.09879941755890828
124,62.37534722222222,62.178472222222226,64.76006944444444,63.10462962962962,1.4370284189123834,13.11111111111111,13.472222222222221,13.759375,13.447569444444445,0.3248343223836684
125,62.97881944444445,61.45173611111111,62.79409722222222,62.40821759259259,0.8334705712611802,13.115277777777777,13.182638888888889,13.722222222222221,13.340046296296295,0.33268334582683107
126,63.74583333333333,57.64409722222222,62.003125000000004,61.131018518518516,3.142964075310254,13.318055555555556,12.36076388888889,13.276041666666668,12.984953703703704,0.5409722593662327
127,62.564930555555556,56.62638888888889,62.07951388888889,60.423611111111114,3.297435335040423,12.8125,12.490972222222222,12.933333333333334,12.745601851851852,0.22864242787615546
128,68.29340277777777,59.01840277777778,57.98715277777778,61.76631944444444,5.676088597866781,13.653819444444444,12.836458333333333,12.495833333333334,12.995370370370372,0.5951241341249773
129,65.80555555555556,60.795138888888886,55.623958333333334,60.74155092592593,5.091010140553808,13.359027777777778,13.275347222222223,12.380208333333334,13.004861111111111,0.5425808035985439
130,63.47673611111111,60.031597222222224,60.466319444444444,61.32488425925926,1.876191793730623,13.090625,12.928472222222222,12.961111111111112,12.99340277777778,0.08576388888888832
131,67.75243055555556,62.104166666666664,60.293055555555554,63.383217592592594,3.890700104221638,13.898958333333333,13.48576388888889,13.221527777777778,13.535416666666668,0.34143387083864984
132,62.96284722222222,59.87638888888889,65.61493055555556,62.81805555555556,2.87200950295598,13.367361111111112,12.982986111111112,13.737152777777778,13.362500000000002,0.3771068324476548
133,70.04270833333334,62.69583333333333,61.037847222222226,64.59212962962964,4.792581312832429,13.792361111111111,13.17361111111111,13.086805555555555,13.350925925925926,0.3847500073533935
134,68.11423611111111,62.283680555555556,59.09097222222222,63.16296296296296,4.575442707117388,13.594097222222222,13.405208333333334,12.806944444444445,13.268750000000002,0.41093555631376194
